Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,18000.0,18000.0,Low,0.0,undergraduate,Government General,Assistant
Government,,,,,undergraduate,Energy,Assistant
Government,25000.0,31000.0,Low,6000.0,postgraduate,Government General,Associate
Government,,,,,undergraduate,PSU,Engineer
Government,30000.0,30000.0,Medium,0.0,undergraduate,Government General,Other
Government,10000.0,10000.0,Low,0.0,undergraduate,Education,Engineer
Government,37000.0,48100.0,Medium,11100.0,postgraduate,Government General,Research
Government,10000.0,12000.0,Low,2000.0,undergraduate,Government General,Entry Level
Government,,,,,postgraduate,Education,Other
Government,,,,,undergraduate,Banking,Other
Government,30000.0,120000.0,Medium,90000.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government General,Managerial
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Managerial
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Government Admin,Engineer
Government,35000.0,50000.0,Medium,15000.0,undergraduate,Technical/Research,Other
Government,29200.0,35400.0,Low,6200.0,undergraduate,Banking,Other
Government,26000.0,26000.0,Low,0.0,undergraduate,Banking,Other
Government,20500.0,25000.0,Low,4500.0,undergraduate,PSU,Entry Level
Government,55000.0,80000.0,Medium,25000.0,undergraduate,Government General,Other
Government,30000.0,35000.0,Medium,5000.0,undergraduate,Education,Other
Government,60000.0,60000.0,Medium,0.0,undergraduate,Government General,Officer
Government,15000.0,15000.0,Low,0.0,undergraduate,Government General,Assistant
Government,,,,,postgraduate,Government General,Other
Government,9000.0,9000.0,Low,0.0,undergraduate,Government General,Entry Level
Government,30000.0,42000.0,Medium,12000.0,undergraduate,Technical/Research,Other
Government,30000.0,30000.0,Medium,0.0,undergraduate,Government General,Other
Government,60000.0,60000.0,Medium,0.0,postgraduate,Government General,Other
Government,77840.0,136520.0,High,58680.0,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Government Admin,Managerial
Government,20000.0,25000.0,Low,5000.0,postgraduate,Government General,Other
Government,18000.0,209200.0,Low,191200.0,postgraduate,Education,Officer
Government,,,,,postgraduate,Banking,Other
Government,,,,,postgraduate,Education,Officer
Government,58333.333333333336,91666.66666666669,Medium,33333.333333333336,undergraduate,Government General,Managerial
Government,44900.0,142400.0,Medium,97500.0,undergraduate,Government Admin,Officer
Government,90000.0,90000.0,High,0.0,undergraduate,Government General,Managerial
Government,78800.0,209200.0,High,130400.0,doctorate,Education,Other
Government,56100.0,177500.0,Medium,121400.0,postgraduate,Government General,Engineer
Government,56100.0,177500.0,Medium,121400.0,undergraduate,PSU,Engineer
Government,,,,,undergraduate,Government Admin,Assistant
Government,47600.0,151100.0,Medium,103500.0,undergraduate,Government General,Other
Government,,,,,undergraduate,Banking,Officer
Government,,,,,undergraduate,PSU,Entry Level
Government,45000.0,45000.0,Medium,0.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government General,Assistant
Government,,,,,undergraduate,Education,Assistant
Government,,,,,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Banking,Managerial
Government,,,,,undergraduate,Government Admin,Officer
Government,40000.0,140000.0,Medium,100000.0,postgraduate,Government General,Officer
Government,40000.0,40000.0,Medium,0.0,undergraduate,PSU,Other
Government,70000.0,200000.0,High,130000.0,undergraduate,Government General,Engineer
Government,125000.0,125000.0,High,0.0,undergraduate,Government General,Officer
Government,21500.0,82000.0,Low,60500.0,undergraduate,Government General,Assistant
Government,,,,,undergraduate,Government General,Other
Government,,,,,postgraduate,Government General,Other
Government,45000.0,45000.0,Medium,0.0,other,Government Admin,Other
Government,,,,,postgraduate,Education,Associate
Government,,,,,undergraduate,Government General,Academic
Government,9000.0,9000.0,Low,0.0,undergraduate,Technical/Research,Engineer
Government,95000.0,95000.0,High,0.0,undergraduate,Government General,Medical
Government,,,,,undergraduate,Government General,Academic
Government,,,,,undergraduate,Judiciary,Other
Government,131100.0,131100.0,High,0.0,postgraduate,Education,Other
Government,60000.0,60000.0,Medium,0.0,undergraduate,Judiciary,Assistant
Government,56100.0,56100.0,Medium,0.0,undergraduate,Technical/Research,Engineer
Government,,,,,other,Judiciary,Assistant
Government,100000.0,260000.0,High,160000.0,postgraduate,Government General,Managerial
Government,141666.66666666666,141666.66666666666,High,0.0,undergraduate,Government General,Managerial
Government,40000.0,40000.0,Medium,0.0,undergraduate,Government General,Other
Government,56100.0,177500.0,Medium,121400.0,other,PSU,Assistant
Government,,,,,postgraduate,PSU,Other
Government,,,,,postgraduate,Government General,Medical
Government,,,,,postgraduate,Government Admin,Other
Government,9000.0,9000.0,Low,0.0,undergraduate,Government General,Entry Level
Government,60000.0,60000.0,Medium,0.0,undergraduate,Education,Engineer
Government,,,,,undergraduate,Government General,Academic
Government,,,,,undergraduate,Government General,Other
Government,40000.0,40000.0,Medium,0.0,undergraduate,Government General,Engineer
Government,216666.66666666663,216666.66666666663,Very High,0.0,postgraduate,PSU,Managerial
Government,1000.0,1000.0,Low,0.0,postgraduate,Education,Assistant
Government,28000.0,35000.0,Low,7000.0,postgraduate,Education,Associate
Government,35400.0,112400.0,Medium,77000.0,postgraduate,Education,Assistant
Government,37000.0,37000.0,Medium,0.0,undergraduate,Education,Research
